0 I 6826 <6825, 5> <6827, 5>
2636  L 6105 2636 <6104, 3> <6106, 2>
2637  L 6106 2637 <6105, 2> <6107, 5>
2638  L 6107 2638 <6106, 5> <6108, 1>
2640  L 6108 2640 <6107, 1> <6109, 3>
2642  L 6109 2642 <6108, 3> <6110, 3>
2643  L 6110 2643 <6109, 3> <6111, 4>
2645  L 6111 2645 <6110, 4> <6112, 6>
2647  L 6112 2647 <6111, 6> <6113, 3>
2648  L 6113 2648 <6112, 3> <6114, 2>
2649  L 6114 2649 <6113, 2> <6115, 4>
2650  L 6115 2650 <6114, 4> <6116, 3>
2651  L 6116 2651 <6115, 3> <6117, 5>
2653  L 6117 2653 <6116, 5> <6118, 1>
2655  L 6118 2655 <6117, 1> <6119, 4>
2657  L 6119 2657 <6118, 4> <6120, 1>
2659  L 6120 2659 <6119, 1> <6121, 1>
2660  L 6121 2660 <6120, 1> <6122, 5>
2662  L 6122 2662 <6121, 5> <6123, 5>
2664  L 6123 2664 <6122, 5> <6124, 5>
2666  L 6124 2666 <6123, 5> <6125, 1>
2667  L 6125 2667 <6124, 1> <6126, 2>
2669  L 6126 2669 <6125, 2> <6127, 1>
2670  L 6127 2670 <6126, 1> <6128, 4>
2672  L 6128 2672 <6127, 4> <6129, 4>
2674  L 6129 2674 <6128, 4> <6130, 6>
2676  L 6130 2676 <6129, 6> <6131, 2>
2677  L 6131 2677 <6130, 2> <6132, 4>
2678  L 6132 2678 <6131, 4> <6133, 5>
2680  L 6133 2680 <6132, 5> <6134, 2>
2682  L 6134 2682 <6133, 2> <6135, 4>
2683  L 6135 2683 <6134, 4> <6136, 3>
2685  L 6136 2685 <6135, 3> <6137, 2>
2686  L 6137 2686 <6136, 2> <6138, 5>
2687  L 6138 2687 <6137, 5> <6139, 4>
2689  L 6139 2689 <6138, 4> <6140, 4>
2690  L 6140 2690 <6139, 4> <6141, 1>
2692  L 6141 2692 <6140, 1> <6142, 1>
2694  L 6142 2694 <6141, 1> <6143, 5>
2696  L 6143 2696 <6142, 5> <6144, 6>
2697  L 6144 2697 <6143, 6> <6145, 4>
2699  L 6145 2699 <6144, 4> <6146, 4>
2701  L 6146 2701 <6145, 4> <6147, 1>
2702  L 6147 2702 <6146, 1> <6148, 4>
2704  L 6148 2704 <6147, 4> <6149, 5>
2705  L 6149 2705 <6148, 5> <6150, 2>
2707  L 6150 2707 <6149, 2> <6151, 1>
2708  L 6151 2708 <6150, 1> <6152, 6>
2709  L 6152 2709 <6151, 6> <6153, 1>
2710  L 6153 2710 <6152, 1> <6154, 1>
2712  L 6154 2712 <6153, 1> <6155, 3>
2713  L 6155 2713 <6154, 3> <6156, 2>
2714  L 6156 2714 <6155, 2> <6157, 1>
2716  L 6157 2716 <6156, 1> <6158, 5>
2717  L 6158 2717 <6157, 5> <6159, 3>
2719  L 6159 2719 <6158, 3> <6160, 1>
2720  L 6160 2720 <6159, 1> <6161, 4>
2721  L 6161 2721 <6160, 4> <6162, 3>
2722  L 6162 2722 <6161, 3> <6163, 5>
2723  L 6163 2723 <6162, 5> <6164, 3>
2724  L 6164 2724 <6163, 3> <6165, 2>
2726  L 6165 2726 <6164, 2> <6166, 5>
2727  L 6166 2727 <6165, 5> <6167, 5>
2729  L 6167 2729 <6166, 5> <6168, 3>
2731  L 6168 2731 <6167, 3> <6169, 2>
2732  L 6169 2732 <6168, 2> <6170, 3>
2733  L 6170 2733 <6169, 3> <6171, 2>
2734  L 6171 2734 <6170, 2> <6172, 2>
2736  L 6172 2736 <6171, 2> <6173, 4>
2737  L 6173 2737 <6172, 4> <6174, 1>
2738  L 6174 2738 <6173, 1> <6175, 3>
2740  L 6175 2740 <6174, 3> <6176, 2>
2741  L 6176 2741 <6175, 2> <6177, 3>
2743  L 6177 2743 <6176, 3> <6178, 6>
2744  L 6178 2744 <6177, 6> <6179, 4>
2746  L 6179 2746 <6178, 4> <6180, 5>
2748  L 6180 2748 <6179, 5> <6181, 5>
2750  L 6181 2750 <6180, 5> <6182, 4>
2751  L 6182 2751 <6181, 4> <6183, 6>
2752  L 6183 2752 <6182, 6> <6184, 1>
2753  L 6184 2753 <6183, 1> <6185, 2>
2755  L 6185 2755 <6184, 2> <6186, 1>
2756  L 6186 2756 <6185, 1> <6187, 4>
2758  L 6187 2758 <6186, 4> <6188, 2>
2760  L 6188 2760 <6187, 2> <6189, 5>
2761  L 6189 2761 <6188, 5> <6190, 3>
2763  L 6190 2763 <6189, 3> <6191, 1>
2764  L 6191 2764 <6190, 1> <6192, 5>
2766  L 6192 2766 <6191, 5> <6193, 4>
2767  L 6193 2767 <6192, 4> <6194, 1>
2768  L 6194 2768 <6193, 1> <6195, 3>
2769  L 6195 2769 <6194, 3> <6196, 4>
2770  L 6196 2770 <6195, 4> <6197, 4>
2771  L 6197 2771 <6196, 4> <6198, 2>
2772  L 6198 2772 <6197, 2> <6199, 4>
2773  L 6199 2773 <6198, 4> <6200, 4>
2775  L 6200 2775 <6199, 4> <6201, 1>
2776  L 6201 2776 <6200, 1> <6202, 1>
2777  L 6202 2777 <6201, 1> <6203, 3>
2779  L 6203 2779 <6202, 3> <6204, 3>
2780  L 6204 2780 <6203, 3> <6205, 1>
2781  L 6205 2781 <6204, 1> <6206, 4>
2782  L 6206 2782 <6205, 4> <6207, 5>
2784  L 6207 2784 <6206, 5> <6208, 1>
2785  L 6208 2785 <6207, 1> <6209, 2>
2787  L 6209 2787 <6208, 2> <6210, 4>
2789  L 6210 2789 <6209, 4> <6211, 4>
2790  L 6211 2790 <6210, 4> <6212, 2>
2792  L 6212 2792 <6211, 2> <6213, 5>
2793  L 6213 2793 <6212, 5> <6214, 3>
2795  L 6214 2795 <6213, 3> <6215, 2>
2797  L 6215 2797 <6214, 2> <6216, 3>
2799  L 6216 2799 <6215, 3> <6217, 6>
2800  L 6217 2800 <6216, 6> <6218, 5>
2802  L 6218 2802 <6217, 5> <6219, 1>
2803  L 6219 2803 <6218, 1> <6220, 4>
2805  L 6220 2805 <6219, 4> <6221, 4>
2806  L 6221 2806 <6220, 4> <6222, 2>
2808  L 6222 2808 <6221, 2> <6223, 3>
2809  L 6223 2809 <6222, 3> <6224, 1>
2811  L 6224 2811 <6223, 1> <6225, 3>
2813  L 6225 2813 <6224, 3> <6226, 2>
2814  L 6226 2814 <6225, 2> <6227, 1>
2815  L 6227 2815 <6226, 1> <6228, 5>
2817  L 6228 2817 <6227, 5> <6229, 5>
2818  L 6229 2818 <6228, 5> <6230, 5>
2820  L 6230 2820 <6229, 5> <6231, 3>
2821  L 6231 2821 <6230, 3> <6232, 1>
2822  L 6232 2822 <6231, 1> <6233, 6>
2823  L 6233 2823 <6232, 6> <6234, 3>
2824  L 6234 2824 <6233, 3> <6235, 1>
2826  L 6235 2826 <6234, 1> <6236, 6>
2827  L 6236 2827 <6235, 6> <6237, 1>
2828  L 6237 2828 <6236, 1> <6238, 5>
2829  L 6238 2829 <6237, 5> <6239, 1>
2830  L 6239 2830 <6238, 1> <6240, 2>
2831  L 6240 2831 <6239, 2> <6241, 6>
2833  L 6241 2833 <6240, 6> <6242, 4>
2834  L 6242 2834 <6241, 4> <6243, 2>
2836  L 6243 2836 <6242, 2> <6244, 4>
2837  L 6244 2837 <6243, 4> <6245, 2>
2839  L 6245 2839 <6244, 2> <6246, 5>
2840  L 6246 2840 <6245, 5> <6247, 1>
2842  L 6247 2842 <6246, 1> <6248, 5>
2844  L 6248 2844 <6247, 5> <6249, 5>
2846  L 6249 2846 <6248, 5> <6250, 2>
2848  L 6250 2848 <6249, 2> <6251, 5>
2849  L 6251 2849 <6250, 5> <6252, 1>
2851  L 6252 2851 <6251, 1> <6253, 5>
2853  L 6253 2853 <6252, 5> <6254, 1>
2854  L 6254 2854 <6253, 1> <6255, 5>
2856  L 6255 2856 <6254, 5> <6256, 2>
2858  L 6256 2858 <6255, 2> <6257, 1>
2859  L 6257 2859 <6256, 1> <6258, 3>
2861  L 6258 2861 <6257, 3> <6259, 4>
2862  L 6259 2862 <6258, 4> <6260, 3>
2863  L 6260 2863 <6259, 3> <6261, 5>
2864  L 6261 2864 <6260, 5> <6262, 6>
2865  L 6262 2865 <6261, 6> <6263, 3>
2867  L 6263 2867 <6262, 3> <6264, 6>
2868  L 6264 2868 <6263, 6> <6265, 1>
2870  L 6265 2870 <6264, 1> <6266, 3>
2871  L 6266 2871 <6265, 3> <6267, 4>
2872  L 6267 2872 <6266, 4> <6268, 6>
2873  L 6268 2873 <6267, 6> <6269, 2>
2874  L 6269 2874 <6268, 2> <6270, 3>
2875  L 6270 2875 <6269, 3> <6271, 2>
2876  L 6271 2876 <6270, 2> <6272, 5>
2877  L 6272 2877 <6271, 5> <6273, 1>
2878  L 6273 2878 <6272, 1> <6274, 3>
2880  L 6274 2880 <6273, 3> <6275, 5>
2881  L 6275 2881 <6274, 5> <6276, 6>
2882  L 6276 2882 <6275, 6> <6277, 4>
2883  L 6277 2883 <6276, 4> <6278, 5>
2885  L 6278 2885 <6277, 5> <6279, 3>
2886  L 6279 2886 <6278, 3> <6280, 6>
2887  L 6280 2887 <6279, 6> <6281, 1>
2889  L 6281 2889 <6280, 1> <6282, 5>
2891  L 6282 2891 <6281, 5> <6283, 1>
2893  L 6283 2893 <6282, 1> <6284, 3>
2895  L 6284 2895 <6283, 3> <6285, 2>
2896  L 6285 2896 <6284, 2> <6286, 2>
2898  L 6286 2898 <6285, 2> <6287, 5>
2899  L 6287 2899 <6286, 5> <6288, 3>
2900  L 6288 2900 <6287, 3> <6289, 4>
2902  L 6289 2902 <6288, 4> <6290, 1>
2904  L 6290 2904 <6289, 1> <6291, 5>
2905  L 6291 2905 <6290, 5> <6292, 4>
2907  L 6292 2907 <6291, 4> <6293, 1>
2909  L 6293 2909 <6292, 1> <6294, 6>
2910  L 6294 2910 <6293, 6> <6295, 6>
2911  L 6295 2911 <6294, 6> <6296, 2>
2913  L 6296 2913 <6295, 2> <6297, 5>
2915  L 6297 2915 <6296, 5> <6298, 5>
2916  L 6298 2916 <6297, 5> <6299, 6>
2917  L 6299 2917 <6298, 6> <6300, 2>
2918  L 6300 2918 <6299, 2> <6301, 3>
2920  L 6301 2920 <6300, 3> <6302, 2>
2921  L 6302 2921 <6301, 2> <6303, 5>
2923  L 6303 2923 <6302, 5> <6304, 4>
2925  L 6304 2925 <6303, 4> <6305, 2>
2926  L 6305 2926 <6304, 2> <6306, 6>
2927  L 6306 2927 <6305, 6> <6307, 6>
2928  L 6307 2928 <6306, 6> <6308, 1>
2930  L 6308 2930 <6307, 1> <6309, 4>
2931  L 6309 2931 <6308, 4> <6310, 4>
2933  L 6310 2933 <6309, 4> <6311, 3>
2935  L 6311 2935 <6310, 3> <6312, 5>
2936  L 6312 2936 <6311, 5> <6313, 4>
2938  L 6313 2938 <6312, 4> <6314, 3>
2940  L 6314 2940 <6313, 3> <6315, 3>
2941  L 6315 2941 <6314, 3> <6316, 2>
2943  L 6316 2943 <6315, 2> <6317, 1>
2945  L 6317 2945 <6316, 1> <6318, 4>
2947  L 6318 2947 <6317, 4> <6319, 5>
2948  L 6319 2948 <6318, 5> <6320, 1>
2950  L 6320 2950 <6319, 1> <6321, 4>
2952  L 6321 2952 <6320, 4> <6322, 4>
2953  L 6322 2953 <6321, 4> <6323, 3>
2954  L 6323 2954 <6322, 3> <6324, 4>
2956  L 6324 2956 <6323, 4> <6325, 6>
2958  L 6325 2958 <6324, 6> <6326, 2>
2959  L 6326 2959 <6325, 2> <6327, 2>
2960  L 6327 2960 <6326, 2> <6328, 1>
2961  L 6328 2961 <6327, 1> <6329, 3>
2962  L 6329 2962 <6328, 3> <6330, 3>
2963  L 6330 2963 <6329, 3> <6331, 5>
2964  L 6331 2964 <6330, 5> <6332, 2>
2966  L 6332 2966 <6331, 2> <6333, 2>
2967  L 6333 2967 <6332, 2> <6334, 5>
2968  L 6334 2968 <6333, 5> <6335, 4>
2969  L 6335 2969 <6334, 4> <6336, 6>
2970  L 6336 2970 <6335, 6> <6337, 2>
2971  L 6337 2971 <6336, 2> <6338, 4>
2972  L 6338 2972 <6337, 4> <6339, 2>
2973  L 6339 2973 <6338, 2> <6340, 6>
2975  L 6340 2975 <6339, 6> <6341, 6>
2977  L 6341 2977 <6340, 6> <6342, 3>
2979  L 6342 2979 <6341, 3> <6343, 2>
2981  L 6343 2981 <6342, 2> <6344, 2>
2982  L 6344 2982 <6343, 2> <6345, 5>
2984  L 6345 2984 <6344, 5> <6346, 1>
2985  L 6346 2985 <6345, 1> <6347, 3>
2987  L 6347 2987 <6346, 3> <6348, 5>
2988  L 6348 2988 <6347, 5> <6349, 5>
2990  L 6349 2990 <6348, 5> <6350, 2>
2991  L 6350 2991 <6349, 2> <6351, 2>
2993  L 6351 2993 <6350, 2> <6352, 1>
2994  L 6352 2994 <6351, 1> <6353, 2>
2996  L 6353 2996 <6352, 2> <6354, 3>
2997  L 6354 2997 <6353, 3> <6355, 5>
2998  L 6355 2998 <6354, 5> <6356, 3>
3000  L 6356 3000 <6355, 3> <6357, 5>
3001  L 6357 3001 <6356, 5> <6358, 2>
3003  L 6358 3003 <6357, 2> <6359, 5>
3004  L 6359 3004 <6358, 5> <6360, 4>
3005  L 6360 3005 <6359, 4> <6361, 6>
3006  L 6361 3006 <6360, 6> <6362, 1>
3008  L 6362 3008 <6361, 1> <6363, 1>
3010  L 6363 3010 <6362, 1> <6364, 5>
3012  L 6364 3012 <6363, 5> <6365, 3>
3014  L 6365 3014 <6364, 3> <6366, 1>
3016  L 6366 3016 <6365, 1> <6367, 1>
3017  L 6367 3017 <6366, 1> <6368, 3>
3018  L 6368 3018 <6367, 3> <6369, 5>
3020  L 6369 3020 <6368, 5> <6370, 3>
3021  L 6370 3021 <6369, 3> <6371, 3>
3022  L 6371 3022 <6370, 3> <6372, 3>
3024  L 6372 3024 <6371, 3> <6373, 5>
3025  L 6373 3025 <6372, 5> <6374, 2>
3026  L 6374 3026 <6373, 2> <6375, 5>
3028  L 6375 3028 <6374, 5> <6376, 1>
3030  L 6376 3030 <6375, 1> <6377, 2>
3032  L 6377 3032 <6376, 2> <6378, 5>
3034  L 6378 3034 <6377, 5> <6379, 4>
3036  L 6379 3036 <6378, 4> <6380, 4>
3037  L 6380 3037 <6379, 4> <6381, 6>
3039  L 6381 3039 <6380, 6> <6382, 6>
3040  L 6382 3040 <6381, 6> <6383, 4>
3042  L 6383 3042 <6382, 4> <6384, 5>
3044  L 6384 3044 <6383, 5> <6385, 2>
3046  L 6385 3046 <6384, 2> <6386, 1>
3047  L 6386 3047 <6385, 1> <6387, 2>
3048  L 6387 3048 <6386, 2> <6388, 4>
3049  L 6388 3049 <6387, 4> <6389, 5>
3050  L 6389 3050 <6388, 5> <6390, 3>
3052  L 6390 3052 <6389, 3> <6391, 5>
3053  L 6391 3053 <6390, 5> <6392, 1>
3054  L 6392 3054 <6391, 1> <6393, 1>
3055  L 6393 3055 <6392, 1> <6394, 4>
3056  L 6394 3056 <6393, 4> <6395, 2>
3057  L 6395 3057 <6394, 2> <6396, 6>
3059  L 6396 3059 <6395, 6> <6397, 5>
3060  L 6397 3060 <6396, 5> <6398, 5>
3062  L 6398 3062 <6397, 5> <6399, 2>
3063  L 6399 3063 <6398, 2> <6400, 2>
3065  L 6400 3065 <6399, 2> <6401, 2>
3066  L 6401 3066 <6400, 2> <6402, 5>
3068  L 6402 3068 <6401, 5> <6403, 1>
3070  L 6403 3070 <6402, 1> <6404, 5>
3071  L 6404 3071 <6403, 5> <6405, 2>
3073  L 6405 3073 <6404, 2> <6406, 3>
3074  L 6406 3074 <6405, 3> <6407, 6>
3076  L 6407 3076 <6406, 6> <6408, 2>
3078  L 6408 3078 <6407, 2> <6409, 2>
3080  L 6409 3080 <6408, 2> <6410, 5>
3081  L 6410 3081 <6409, 5> <6411, 2>
3083  L 6411 3083 <6410, 2> <6412, 3>
3084  L 6412 3084 <6411, 3> <6413, 1>
3085  L 6413 3085 <6412, 1> <6414, 1>
3087  L 6414 3087 <6413, 1> <6415, 3>
3089  L 6415 3089 <6414, 3> <6416, 3>
3090  L 6416 3090 <6415, 3> <6417, 5>
3092  L 6417 3092 <6416, 5> <6418, 6>
3094  L 6418 3094 <6417, 6> <6419, 1>
3095  L 6419 3095 <6418, 1> <6420, 5>
3097  L 6420 3097 <6419, 5> <6421, 4>
3098  L 6421 3098 <6420, 4> <6422, 1>
3099  L 6422 3099 <6421, 1> <6423, 4>
3100  L 6423 3100 <6422, 4> <6424, 2>
3101  L 6424 3101 <6423, 2> <6425, 5>
3102  L 6425 3102 <6424, 5> <6426, 1>
3103  L 6426 3103 <6425, 1> <6427, 2>
3105  L 6427 3105 <6426, 2> <6428, 4>
3107  L 6428 3107 <6427, 4> <6429, 5>
3108  L 6429 3108 <6428, 5> <6430, 5>
3109  L 6430 3109 <6429, 5> <6431, 4>
3110  L 6431 3110 <6430, 4> <6432, 3>
3111  L 6432 3111 <6431, 3> <6433, 4>
3113  L 6433 3113 <6432, 4> <6434, 5>
3114  L 6434 3114 <6433, 5> <6435, 5>
3116  L 6435 3116 <6434, 5> <6436, 3>
3117  L 6436 3117 <6435, 3> <6437, 4>
3118  L 6437 3118 <6436, 4> <6438, 5>
3119  L 6438 3119 <6437, 5> <6439, 2>
3120  L 6439 3120 <6438, 2> <6440, 4>
3121  L 6440 3121 <6439, 4> <6441, 5>
3122  L 6441 3122 <6440, 5> <6442, 1>
3123  L 6442 3123 <6441, 1> <6443, 2>
3124  L 6443 3124 <6442, 2> <6444, 1>
3126  L 6444 3126 <6443, 1> <6445, 3>
3128  L 6445 3128 <6444, 3> <6446, 2>
3129  L 6446 3129 <6445, 2> <6447, 4>
3130  L 6447 3130 <6446, 4> <6448, 3>
3132  L 6448 3132 <6447, 3> <6449, 2>
3133  L 6449 3133 <6448, 2> <6450, 4>
3135  L 6450 3135 <6449, 4> <6451, 6>
3136  L 6451 3136 <6450, 6> <6452, 3>
3138  L 6452 3138 <6451, 3> <6453, 1>
3140  L 6453 3140 <6452, 1> <6454, 4>
3141  L 6454 3141 <6453, 4> <6455, 3>
3142  L 6455 3142 <6454, 3> <6456, 3>
3144  L 6456 3144 <6455, 3> <6457, 4>
3146  L 6457 3146 <6456, 4> <6458, 5>
3148  L 6458 3148 <6457, 5> <6459, 5>
3150  L 6459 3150 <6458, 5> <6460, 2>
3151  L 6460 3151 <6459, 2> <6461, 3>
3152  L 6461 3152 <6460, 3> <6462, 4>
3154  L 6462 3154 <6461, 4> <6463, 6>
3155  L 6463 3155 <6462, 6> <6464, 5>
3156  L 6464 3156 <6463, 5> <6465, 2>
3158  L 6465 3158 <6464, 2> <6466, 4>
3159  L 6466 3159 <6465, 4> <6467, 1>
3160  L 6467 3160 <6466, 1> <6468, 5>
3161  L 6468 3161 <6467, 5> <6469, 4>
3162  L 6469 3162 <6468, 4> <6470, 5>
3163  L 6470 3163 <6469, 5> <6471, 2>
3164  L 6471 3164 <6470, 2> <6472, 5>
3166  L 6472 3166 <6471, 5> <6473, 6>
3168  L 6473 3168 <6472, 6> <6474, 5>
3170  L 6474 3170 <6473, 5> <6475, 3>
3172  L 6475 3172 <6474, 3> <6476, 3>
3173  L 6476 3173 <6475, 3> <6477, 5>
3174  L 6477 3174 <6476, 5> <6478, 6>
3176  L 6478 3176 <6477, 6> <6479, 3>
3177  L 6479 3177 <6478, 3> <6480, 5>
3179  L 6480 3179 <6479, 5> <6481, 2>
3181  L 6481 3181 <6480, 2> <6482, 2>
3182  L 6482 3182 <6481, 2> <6483, 5>
3184  L 6483 3184 <6482, 5> <6484, 4>
3185  L 6484 3185 <6483, 4> <6485, 1>
3187  L 6485 3187 <6484, 1> <6486, 2>
3189  L 6486 3189 <6485, 2> <6487, 5>
3190  L 6487 3190 <6486, 5> <6488, 5>
3191  L 6488 3191 <6487, 5> <6489, 3>
3193  L 6489 3193 <6488, 3> <6490, 1>
3194  L 6490 3194 <6489, 1> <6491, 4>
3195  L 6491 3195 <6490, 4> <6492, 3>
3196  L 6492 3196 <6491, 3> <6493, 2>
3197  L 6493 3197 <6492, 2> <6494, 2>
3199  L 6494 3199 <6493, 2> <6495, 5>
3201  L 6495 3201 <6494, 5> <6496, 3>
3202  L 6496 3202 <6495, 3> <6497, 1>
3204  L 6497 3204 <6496, 1> <6498, 3>
3206  L 6498 3206 <6497, 3> <6499, 6>
3207  L 6499 3207 <6498, 6> <6500, 2>
3208  L 6500 3208 <6499, 2> <6501, 4>
3210  L 6501 3210 <6500, 4> <6502, 2>
3212  L 6502 3212 <6501, 2> <6503, 3>
3213  L 6503 3213 <6502, 3> <6504, 6>
3215  L 6504 3215 <6503, 6> <6505, 3>
3216  L 6505 3216 <6504, 3> <6506, 1>
3217  L 6506 3217 <6505, 1> <6507, 1>
3218  L 6507 3218 <6506, 1> <6508, 2>
3220  L 6508 3220 <6507, 2> <6509, 2>
3221  L 6509 3221 <6508, 2> <6510, 5>
3222  L 6510 3222 <6509, 5> <6511, 3>
3223  L 6511 3223 <6510, 3> <6512, 1>
3225  L 6512 3225 <6511, 1> <6513, 1>
3227  L 6513 3227 <6512, 1> <6514, 4>
3229  L 6514 3229 <6513, 4> <6515, 3>
3231  L 6515 3231 <6514, 3> <6516, 5>
3233  L 6516 3233 <6515, 5> <6517, 4>
3234  L 6517 3234 <6516, 4> <6518, 5>
3235  L 6518 3235 <6517, 5> <6519, 5>
3236  L 6519 3236 <6518, 5> <6520, 3>
3237  L 6520 3237 <6519, 3> <6521, 1>
3239  L 6521 3239 <6520, 1> <6522, 3>
3241  L 6522 3241 <6521, 3> <6523, 3>
3243  L 6523 3243 <6522, 3> <6524, 4>
3245  L 6524 3245 <6523, 4> <6525, 1>
3246  L 6525 3246 <6524, 1> <6526, 2>
3247  L 6526 3247 <6525, 2> <6527, 6>
3249  L 6527 3249 <6526, 6> <6528, 3>
3250  L 6528 3250 <6527, 3> <6529, 3>
3252  L 6529 3252 <6528, 3> <6530, 5>
3253  L 6530 3253 <6529, 5> <6531, 4>
3255  L 6531 3255 <6530, 4> <6532, 1>
3256  L 6532 3256 <6531, 1> <6533, 4>
3258  L 6533 3258 <6532, 4> <6534, 5>
3260  L 6534 3260 <6533, 5> <6535, 3>
3262  L 6535 3262 <6534, 3> <6536, 6>
3263  L 6536 3263 <6535, 6> <6537, 5>
3264  L 6537 3264 <6536, 5> <6538, 5>
3265  L 6538 3265 <6537, 5> <6539, 1>
3267  L 6539 3267 <6538, 1> <6540, 3>
3268  L 6540 3268 <6539, 3> <6541, 4>
3270  L 6541 3270 <6540, 4> <6542, 6>
3271  L 6542 3271 <6541, 6> <6543, 5>
3273  L 6543 3273 <6542, 5> <6544, 6>
3274  L 6544 3274 <6543, 6> <6545, 6>
3275  L 6545 3275 <6544, 6> <6546, 6>
3277  L 6546 3277 <6545, 6> <6547, 5>
3278  L 6547 3278 <6546, 5> <6548, 4>
3280  L 6548 3280 <6547, 4> <6549, 2>
3282  L 6549 3282 <6548, 2> <6550, 1>
3283  L 6550 3283 <6549, 1> <6551, 5>
3284  L 6551 3284 <6550, 5> <6552, 2>
3286  L 6552 3286 <6551, 2> <6553, 2>
3287  L 6553 3287 <6552, 2> <6554, 6>
3288  L 6554 3288 <6553, 6> <6555, 1>
3290  L 6555 3290 <6554, 1> <6556, 3>
3291  L 6556 3291 <6555, 3> <6557, 4>
3293  L 6557 3293 <6556, 4> <6558, 4>
3294  L 6558 3294 <6557, 4> <6559, 6>
3295  L 6559 3295 <6558, 6> <6560, 3>
3296  L 6560 3296 <6559, 3> <6561, 2>
3298  L 6561 3298 <6560, 2> <6562, 2>
3300  L 6562 3300 <6561, 2> <6563, 6>
3301  L 6563 3301 <6562, 6> <6564, 1>
3303  L 6564 3303 <6563, 1> <6565, 4>
3305  L 6565 3305 <6564, 4> <6566, 6>
3306  L 6566 3306 <6565, 6> <6567, 5>
3308  L 6567 3308 <6566, 5> <6568, 2>
3310  L 6568 3310 <6567, 2> <6569, 4>
3311  L 6569 3311 <6568, 4> <6570, 1>
3313  L 6570 3313 <6569, 1> <6571, 3>
3315  L 6571 3315 <6570, 3> <6572, 3>
3316  L 6572 3316 <6571, 3> <6573, 2>
3318  L 6573 3318 <6572, 2> <6574, 3>
3320  L 6574 3320 <6573, 3> <6575, 4>
3322  L 6575 3322 <6574, 4> <6576, 1>
3323  L 6576 3323 <6575, 1> <6577, 4>
3324  L 6577 3324 <6576, 4> <6578, 5>
3325  L 6578 3325 <6577, 5> <6579, 4>
3327  L 6579 3327 <6578, 4> <6580, 5>
3328  L 6580 3328 <6579, 5> <6581, 1>
3329  L 6581 3329 <6580, 1> <6582, 1>
3331  L 6582 3331 <6581, 1> <6583, 2>
3332  L 6583 3332 <6582, 2> <6584, 5>
3333  L 6584 3333 <6583, 5> <6585, 5>
3335  L 6585 3335 <6584, 5> <6586, 1>
3336  L 6586 3336 <6585, 1> <6587, 2>
3338  L 6587 3338 <6586, 2> <6588, 2>
3339  L 6588 3339 <6587, 2> <6589, 3>
3341  L 6589 3341 <6588, 3> <6590, 6>
3342  L 6590 3342 <6589, 6> <6591, 5>
3344  L 6591 3344 <6590, 5> <6592, 5>
3345  L 6592 3345 <6591, 5> <6593, 1>
3347  L 6593 3347 <6592, 1> <6594, 4>
3349  L 6594 3349 <6593, 4> <6595, 3>
3351  L 6595 3351 <6594, 3> <6596, 3>
3353  L 6596 3353 <6595, 3> <6597, 5>
3355  L 6597 3355 <6596, 5> <6598, 3>
3356  L 6598 3356 <6597, 3> <6599, 2>
3358  L 6599 3358 <6598, 2> <6600, 2>
3359  L 6600 3359 <6599, 2> <6601, 2>
3360  L 6601 3360 <6600, 2> <6602, 2>
3362  L 6602 3362 <6601, 2> <6603, 1>
3364  L 6603 3364 <6602, 1> <6604, 3>
3366  L 6604 3366 <6603, 3> <6605, 3>
3368  L 6605 3368 <6604, 3> <6606, 2>
3369  L 6606 3369 <6605, 2> <6607, 3>
3370  L 6607 3370 <6606, 3> <6608, 4>
3372  L 6608 3372 <6607, 4> <6609, 1>
3374  L 6609 3374 <6608, 1> <6610, 4>
3376  L 6610 3376 <6609, 4> <6611, 1>
3378  L 6611 3378 <6610, 1> <6612, 1>
3379  L 6612 3379 <6611, 1> <6613, 4>
3380  L 6613 3380 <6612, 4> <6614, 4>
3382  L 6614 3382 <6613, 4> <6615, 2>
3383  L 6615 3383 <6614, 2> <6616, 4>
3385  L 6616 3385 <6615, 4> <6617, 3>
3386  L 6617 3386 <6616, 3> <6618, 1>
3387  L 6618 3387 <6617, 1> <6619, 5>
3388  L 6619 3388 <6618, 5> <6620, 5>
3390  L 6620 3390 <6619, 5> <6621, 3>
3391  L 6621 3391 <6620, 3> <6622, 1>
3393  L 6622 3393 <6621, 1> <6623, 5>
3395  L 6623 3395 <6622, 5> <6624, 2>
3397  L 6624 3397 <6623, 2> <6625, 3>
3398  L 6625 3398 <6624, 3> <6626, 5>
3400  L 6626 3400 <6625, 5> <6627, 5>
3402  L 6627 3402 <6626, 5> <6628, 4>
3404  L 6628 3404 <6627, 4> <6629, 3>
3405  L 6629 3405 <6628, 3> <6630, 5>
3406  L 6630 3406 <6629, 5> <6631, 1>
3408  L 6631 3408 <6630, 1> <6632, 2>
3409  L 6632 3409 <6631, 2> <6633, 2>
3410  L 6633 3410 <6632, 2> <6634, 1>
3412  L 6634 3412 <6633, 1> <6635, 1>
3414  L 6635 3414 <6634, 1> <6636, 1>
3416  L 6636 3416 <6635, 1> <6637, 5>
3417  L 6637 3417 <6636, 5> <6638, 2>
3419  L 6638 3419 <6637, 2> <6639, 3>
3421  L 6639 3421 <6638, 3> <6640, 5>
3422  L 6640 3422 <6639, 5> <6641, 2>
3423  L 6641 3423 <6640, 2> <6642, 6>
